epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2193,2.92082,3.83539,1.62334,0.00451,0.05614,0.0024,0.00063,2.63295,3.74622,1.43074,6e-05,6e-05,6e-05
2,37.7983,2.65508,3.61794,1.39596,0.02196,0.27339,0.0143,0.00443,2.45444,3.60865,1.26252,0.000137228,0.000137228,0.000137228
3,54.5696,2.42841,3.14291,1.25572,0.04039,0.50285,0.03201,0.01205,2.12415,3.42956,1.14469,0.000211288,0.000211288,0.000211288
4,71.5915,2.18385,2.19083,1.11086,0.04922,0.61269,0.06115,0.02568,1.92675,3.13784,1.06152,0.00028218,0.00028218,0.00028218
5,88.515,2.26564,1.74513,1.14803,0.05242,0.65256,0.17684,0.06783,1.92853,2.98985,1.05932,0.000349904,0.000349904,0.000349904
6,105.339,2.1664,1.69813,1.10145,0.05778,0.71928,0.22731,0.08927,1.89264,2.81497,1.05165,0.00041446,0.00041446,0.00041446
7,122.873,2.1072,1.5257,1.09115,0.06196,0.77136,0.24358,0.11246,1.90543,2.6532,1.05365,0.000475848,0.000475848,0.000475848
8,140.581,2.06792,1.55668,1.07938,0.06484,0.80716,0.27828,0.13515,1.83178,2.50918,1.03777,0.000534068,0.000534068,0.000534068
9,157.601,2.03587,1.46648,1.0845,0.06346,0.79007,0.38053,0.18455,1.88899,2.36207,1.05898,0.00058912,0.00058912,0.00058912
10,175.292,1.98016,1.38004,1.04313,0.51605,0.49634,0.43853,0.20252,1.84834,2.2902,1.04423,0.000641004,0.000641004,0.000641004
11,192.393,2.02301,1.39811,1.06319,0.65447,0.45002,0.49866,0.21235,1.89351,2.24545,1.06379,0.00068972,0.00068972,0.00068972
12,209.14,2.10109,1.41385,1.05385,0.69923,0.41009,0.50451,0.2252,1.84259,2.23661,1.05376,0.000735268,0.000735268,0.000735268
13,226.529,1.87103,1.30777,1.04234,0.45651,0.36697,0.29964,0.14523,1.81726,2.31809,1.0423,0.000777648,0.000777648,0.000777648
14,245.129,2.06468,1.31843,1.04369,0.53977,0.25386,0.3399,0.1494,1.92628,2.2476,1.07746,0.00081686,0.00081686,0.00081686
15,264.056,1.81447,1.22476,1.03777,0.42615,0.37592,0.29276,0.12904,1.77975,2.23087,1.02586,0.000852904,0.000852904,0.000852904
16,282.84,1.9082,1.29071,1.06092,0.35676,0.39219,0.26447,0.11665,1.74173,2.1819,1.00138,0.00088578,0.00088578,0.00088578
17,302.581,1.83419,1.21034,1.01264,0.56112,0.35395,0.4207,0.18975,1.7299,2.01762,0.9952,0.000915488,0.000915488,0.000915488
18,321.634,1.79418,1.23701,1.04276,0.60558,0.43857,0.48365,0.21261,1.781,1.87239,1.00634,0.000942028,0.000942028,0.000942028
19,342.07,1.9633,1.25888,1.07623,0.71763,0.35567,0.56035,0.21658,2.02071,1.9454,1.05112,0.0009654,0.0009654,0.0009654
20,360.488,1.86429,1.16765,1.00188,0.76518,0.36325,0.59603,0.24693,1.89176,1.93828,1.01541,0.000985604,0.000985604,0.000985604
21,377.997,1.7833,1.16491,1.01485,0.47475,0.4882,0.41944,0.20023,1.6964,1.8529,0.96915,0.00100264,0.00100264,0.00100264
22,395.513,1.88682,1.18514,1.04049,0.6152,0.4581,0.56945,0.27002,1.72047,1.84672,0.973,0.00101651,0.00101651,0.00101651
23,412.862,1.77751,1.15637,0.99486,0.77309,0.48007,0.65385,0.30584,1.7388,1.78025,0.97626,0.00102721,0.00102721,0.00102721
24,430.016,1.77698,1.18438,1.03622,0.74299,0.52482,0.66403,0.31103,1.69613,1.67578,0.97373,0.00103474,0.00103474,0.00103474
