epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,213.73,2.10109,1.41385,1.05385,0.69923,0.41009,0.50451,0.2252,1.84259,2.23661,1.05376,0.000735268,0.000735268,0.000735268
13,231.32,1.87103,1.30777,1.04234,0.45651,0.36697,0.29964,0.14523,1.81726,2.31809,1.0423,0.000777648,0.000777648,0.000777648
14,248.712,2.06468,1.31843,1.04369,0.53977,0.25386,0.3399,0.1494,1.92628,2.2476,1.07746,0.00081686,0.00081686,0.00081686
15,266.017,1.81447,1.22476,1.03777,0.42615,0.37592,0.29276,0.12904,1.77975,2.23087,1.02586,0.000852904,0.000852904,0.000852904
16,283.39,1.9082,1.29071,1.06092,0.35676,0.39219,0.26447,0.11665,1.74173,2.1819,1.00138,0.00088578,0.00088578,0.00088578
17,300.702,1.83419,1.21034,1.01264,0.56112,0.35395,0.4207,0.18975,1.7299,2.01762,0.9952,0.000915488,0.000915488,0.000915488
18,318.091,1.79418,1.23701,1.04276,0.60558,0.43857,0.48365,0.21261,1.781,1.87239,1.00634,0.000942028,0.000942028,0.000942028
19,335.656,1.9633,1.25888,1.07623,0.71763,0.35567,0.56035,0.21658,2.02071,1.9454,1.05112,0.0009654,0.0009654,0.0009654
20,353.097,1.86429,1.16765,1.00188,0.76518,0.36325,0.59603,0.24693,1.89176,1.93828,1.01541,0.000985604,0.000985604,0.000985604
21,370.256,1.7833,1.16491,1.01485,0.47475,0.4882,0.41944,0.20023,1.6964,1.8529,0.96915,0.00100264,0.00100264,0.00100264
22,387.376,1.88682,1.18514,1.04049,0.6152,0.4581,0.56945,0.27002,1.72047,1.84672,0.973,0.00101651,0.00101651,0.00101651
23,404.641,1.77751,1.15637,0.99486,0.77309,0.48007,0.65385,0.30584,1.7388,1.78025,0.97626,0.00102721,0.00102721,0.00102721
24,422.034,1.77698,1.18438,1.03622,0.74299,0.52482,0.66403,0.31103,1.69613,1.67578,0.97373,0.00103474,0.00103474,0.00103474
25,439.302,1.73433,1.08879,0.98712,0.76762,0.54026,0.69584,0.33751,1.64851,1.61344,0.96563,0.0010391,0.0010391,0.0010391
26,456.744,1.75992,1.16787,1.02328,0.81143,0.54969,0.70941,0.3384,1.66323,1.59881,0.96772,0.00101,0.00101,0.00101
27,474.002,1.78368,1.16356,0.99036,0.80145,0.57364,0.72222,0.35264,1.63607,1.52015,0.96685,0.0009704,0.0009704,0.0009704
28,491.42,1.69755,1.07369,0.97987,0.75592,0.62571,0.72707,0.35705,1.6113,1.39275,0.96507,0.0009308,0.0009308,0.0009308
29,509.131,1.7898,1.14156,1.01297,0.7368,0.656,0.73012,0.36318,1.59893,1.28118,0.96596,0.0008912,0.0008912,0.0008912
30,526.402,1.73908,1.09694,0.99001,0.74482,0.68159,0.74484,0.38098,1.56348,1.22774,0.95765,0.0008516,0.0008516,0.0008516
31,543.805,1.68733,1.03779,0.97628,0.77672,0.70057,0.76957,0.40046,1.54624,1.18149,0.94968,0.000812,0.000812,0.000812
32,561.341,1.73381,1.05526,1.01329,0.77296,0.70871,0.77757,0.40053,1.57009,1.1295,0.95536,0.0007724,0.0007724,0.0007724
33,578.687,1.72927,1.11426,0.96704,0.78038,0.72579,0.78012,0.39737,1.59037,1.09988,0.96098,0.0007328,0.0007328,0.0007328
34,596.362,1.74108,1.04535,0.9706,0.77414,0.72823,0.77883,0.40763,1.55261,1.099,0.95187,0.0006932,0.0006932,0.0006932
35,613.795,1.74203,1.13694,0.99046,0.76977,0.71276,0.77263,0.40763,1.51123,1.08415,0.94502,0.0006536,0.0006536,0.0006536
36,631.303,1.65336,0.98659,0.95678,0.77124,0.70464,0.77076,0.4023,1.51226,1.09133,0.94066,0.000614,0.000614,0.000614
37,649.012,1.53556,1.00596,0.94169,0.77606,0.72417,0.7891,0.40541,1.53052,1.06713,0.94236,0.0005744,0.0005744,0.0005744
38,666.502,1.66867,1.07603,0.96324,0.77462,0.75753,0.80213,0.42548,1.49144,1.02181,0.93688,0.0005348,0.0005348,0.0005348
39,683.535,1.65642,1.14236,0.98231,0.76742,0.76322,0.80368,0.42282,1.51464,1.00072,0.94402,0.0004952,0.0004952,0.0004952
40,700.853,1.80979,1.01729,0.98167,0.76854,0.76241,0.80438,0.42134,1.5282,1.00082,0.94666,0.0004556,0.0004556,0.0004556
41,717.462,1.65879,1.06898,0.97084,0.77689,0.74288,0.80523,0.43107,1.47901,1.00359,0.93514,0.000416,0.000416,0.000416
42,733.955,1.62945,1.03499,1.00497,0.78371,0.74695,0.80593,0.4412,1.44868,1.01125,0.92896,0.0003764,0.0003764,0.0003764
43,750.313,1.53265,0.95429,0.96269,0.80216,0.75509,0.80855,0.44444,1.44776,0.99654,0.9297,0.0003368,0.0003368,0.0003368
44,766.762,1.59079,1.02492,0.98908,0.80926,0.74567,0.81113,0.44805,1.44178,0.9814,0.92985,0.0002972,0.0002972,0.0002972
45,783.767,1.55268,1.0556,0.9577,0.80379,0.75834,0.81792,0.45739,1.41946,0.97044,0.92557,0.0002576,0.0002576,0.0002576
46,800.161,1.57598,1.00813,0.97146,0.8082,0.75431,0.82222,0.45903,1.42277,0.96129,0.92567,0.000218,0.000218,0.000218
47,816.371,1.56767,0.97773,0.95942,0.80493,0.7559,0.82597,0.45417,1.44687,0.95842,0.92946,0.0001784,0.0001784,0.0001784
48,832.805,1.58452,0.96517,0.94957,0.80144,0.75671,0.82943,0.4511,1.44811,0.94233,0.92978,0.0001388,0.0001388,0.0001388
49,849.198,1.52924,0.94321,0.94943,0.79767,0.76024,0.83245,0.45228,1.43719,0.92407,0.92804,9.92e-05,9.92e-05,9.92e-05
50,865.574,1.64047,1.08647,0.96344,0.79942,0.76078,0.83514,0.45354,1.42534,0.90853,0.92651,5.96e-05,5.96e-05,5.96e-05
