epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6607,2.92082,3.83539,1.62334,0.00451,0.05614,0.0024,0.00063,2.63295,3.74622,1.43074,6e-05,6e-05,6e-05
2,37.5895,2.65508,3.61794,1.39596,0.02196,0.27339,0.0143,0.00443,2.45444,3.60865,1.26252,0.000137228,0.000137228,0.000137228
3,54.7011,2.42841,3.14291,1.25572,0.04039,0.50285,0.03201,0.01205,2.12415,3.42956,1.14469,0.000211288,0.000211288,0.000211288
4,72.2466,2.18385,2.19083,1.11086,0.04922,0.61269,0.06115,0.02568,1.92675,3.13784,1.06152,0.00028218,0.00028218,0.00028218
5,89.51,2.26564,1.74513,1.14803,0.05242,0.65256,0.17684,0.06783,1.92853,2.98985,1.05932,0.000349904,0.000349904,0.000349904
6,106.65,2.1664,1.69813,1.10145,0.05778,0.71928,0.22731,0.08927,1.89264,2.81497,1.05165,0.00041446,0.00041446,0.00041446
7,123.971,2.1072,1.5257,1.09115,0.06196,0.77136,0.24358,0.11246,1.90543,2.6532,1.05365,0.000475848,0.000475848,0.000475848
8,141.044,2.06792,1.55668,1.07938,0.06484,0.80716,0.27828,0.13515,1.83178,2.50918,1.03777,0.000534068,0.000534068,0.000534068
9,159.333,2.03587,1.46648,1.0845,0.06346,0.79007,0.38053,0.18455,1.88899,2.36207,1.05898,0.00058912,0.00058912,0.00058912
10,177.756,1.98016,1.38004,1.04313,0.51605,0.49634,0.43853,0.20252,1.84834,2.2902,1.04423,0.000641004,0.000641004,0.000641004
11,195.845,2.02301,1.39811,1.06319,0.65447,0.45002,0.49866,0.21235,1.89351,2.24545,1.06379,0.00068972,0.00068972,0.00068972
