epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.7019,3.14203,3.54097,1.45321,0.03762,0.33761,0.03975,0.01228,2.22174,3.24568,0.96643,0.00026,0.00026,0.00026
2,8.73636,2.49696,1.77361,1.08305,0.08095,0.7265,0.28757,0.13481,1.93905,2.53756,0.9406,0.000529308,0.000529308,0.000529308
3,10.7678,2.34795,1.5533,1.08339,0.09476,0.85043,0.42786,0.1981,1.84861,2.41942,0.91694,0.000787528,0.000787528,0.000787528
4,12.7702,2.35162,1.48707,1.0638,0.79633,0.43444,0.5897,0.26315,1.88751,1.97981,0.91865,0.00103466,0.00103466,0.00103466
5,14.8717,2.2681,1.38785,1.05598,0.84808,0.40558,0.68374,0.27892,1.87725,1.71442,0.91851,0.0012707,0.0012707,0.0012707
6,17.1312,2.21998,1.33116,1.04591,0.76441,0.40211,0.5502,0.16613,2.3313,1.88952,0.98941,0.00149566,0.00149566,0.00149566
7,19.1937,2.29322,1.33242,1.05506,0.78322,0.6485,0.79286,0.34374,1.75685,1.38133,0.89849,0.00170953,0.00170953,0.00170953
8,21.2541,2.231,1.30275,1.02976,0.82165,0.73932,0.82307,0.37132,1.682,1.18558,0.88621,0.0017228,0.0017228,0.0017228
9,23.2816,2.12854,1.25048,1.03768,0.83274,0.67949,0.83134,0.38006,1.78291,1.25085,0.89718,0.0016832,0.0016832,0.0016832
10,25.3371,2.14271,1.24321,1.01957,0.8507,0.75483,0.8514,0.33045,1.94452,0.95568,0.94562,0.0016436,0.0016436,0.0016436
11,27.5296,2.07886,1.22035,1.01436,0.87561,0.75202,0.83634,0.36599,1.7999,0.90293,0.91589,0.001604,0.001604,0.001604
12,29.556,2.05565,1.22807,1.01191,0.85947,0.78205,0.86824,0.39406,1.68848,0.87287,0.89401,0.0015644,0.0015644,0.0015644
13,31.5855,2.06921,1.18645,1.01226,0.87659,0.78921,0.88734,0.4439,1.53626,0.82,0.87413,0.0015248,0.0015248,0.0015248
14,33.932,2.08196,1.18865,1.01604,0.89903,0.80769,0.89951,0.42058,1.62651,0.79747,0.88969,0.0014852,0.0014852,0.0014852
15,36.2605,2.03663,1.1409,1.0109,0.9113,0.81197,0.91696,0.45041,1.52998,0.77921,0.87444,0.0014456,0.0014456,0.0014456
16,38.475,2.05468,1.18877,1.01141,0.91369,0.8596,0.92428,0.42524,1.60718,0.75887,0.88239,0.001406,0.001406,0.001406
17,40.6275,2.02015,1.13331,0.99939,0.90353,0.81624,0.90921,0.4025,1.72574,0.7881,0.91133,0.0013664,0.0013664,0.0013664
18,42.737,1.99433,1.11933,0.97914,0.94917,0.85043,0.9314,0.44891,1.52963,0.78983,0.87333,0.0013268,0.0013268,0.0013268
19,44.9515,1.97582,1.09735,0.97495,0.93834,0.84544,0.93934,0.45002,1.52865,0.73117,0.87973,0.0012872,0.0012872,0.0012872
20,47.067,2.002,1.12551,0.9886,0.95719,0.85991,0.94423,0.45299,1.51229,0.7228,0.87255,0.0012476,0.0012476,0.0012476
21,49.0764,1.98563,1.09828,0.98192,0.94557,0.84188,0.92768,0.40515,1.71164,0.7629,0.89846,0.001208,0.001208,0.001208
22,51.1159,1.99846,1.12779,0.98727,0.91496,0.87367,0.92345,0.45516,1.51026,0.70411,0.8746,0.0011684,0.0011684,0.0011684
23,53.1363,1.93042,1.07151,0.98345,0.88519,0.89744,0.92069,0.44818,1.48359,0.70579,0.87101,0.0011288,0.0011288,0.0011288
24,55.1888,1.94755,1.04988,0.97243,0.91386,0.88034,0.94339,0.45157,1.52879,0.69919,0.87407,0.0010892,0.0010892,0.0010892
25,57.2112,1.93801,1.04921,0.9837,0.92418,0.85897,0.94065,0.4444,1.58633,0.71875,0.88623,0.0010496,0.0010496,0.0010496
26,59.2567,1.88879,1.03274,0.96741,0.95447,0.89593,0.95571,0.45673,1.47387,0.68549,0.86476,0.00101,0.00101,0.00101
27,61.2852,1.8628,1.03772,0.96805,0.91481,0.91026,0.94477,0.48588,1.44798,0.67449,0.86298,0.0009704,0.0009704,0.0009704
28,63.2844,1.91201,1.02482,0.98032,0.90927,0.89936,0.94738,0.49258,1.45947,0.67738,0.86555,0.0009308,0.0009308,0.0009308
29,65.2008,1.90296,1.02076,0.96698,0.91319,0.85416,0.93435,0.46908,1.50235,0.68296,0.86726,0.0008912,0.0008912,0.0008912
30,67.2613,1.93276,1.0591,0.96906,0.90477,0.89324,0.95057,0.48847,1.48594,0.66274,0.86855,0.0008516,0.0008516,0.0008516
31,69.3237,1.8662,1.01875,0.96497,0.89061,0.89744,0.95076,0.48592,1.53723,0.66806,0.8748,0.000812,0.000812,0.000812
32,71.3812,1.8755,1.01199,0.97432,0.97124,0.86584,0.94761,0.50327,1.43465,0.65828,0.86394,0.0007724,0.0007724,0.0007724
33,73.3706,1.85464,1.00102,0.96015,0.9436,0.92947,0.96639,0.49879,1.43616,0.63976,0.8655,0.0007328,0.0007328,0.0007328
34,75.3878,1.87403,0.98891,0.95336,0.93616,0.9188,0.94772,0.48302,1.47282,0.6551,0.87221,0.0006932,0.0006932,0.0006932
35,77.4393,1.85387,0.98662,0.95315,0.95568,0.92149,0.95408,0.46335,1.51433,0.66615,0.87122,0.0006536,0.0006536,0.0006536
36,79.5098,1.85059,0.97529,0.95883,0.94089,0.9188,0.96004,0.49819,1.47542,0.65429,0.86792,0.000614,0.000614,0.000614
