epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,81.5362,1.82828,0.97617,0.94397,0.93043,0.92308,0.95233,0.49026,1.45863,0.64344,0.86497,0.0005744,0.0005744,0.0005744
38,83.6847,1.83798,0.98886,0.95101,0.95081,0.90863,0.96068,0.47993,1.44374,0.63643,0.86106,0.0005348,0.0005348,0.0005348
39,85.5961,1.81328,0.96297,0.94102,0.94267,0.9188,0.96502,0.50538,1.40822,0.62966,0.86112,0.0004952,0.0004952,0.0004952
40,87.5476,1.78683,0.95264,0.94098,0.92391,0.93403,0.96941,0.50089,1.40603,0.64318,0.85825,0.0004556,0.0004556,0.0004556
41,114.642,1.78449,1.01527,0.96609,0.93892,0.91972,0.96457,0.49675,1.43207,0.63787,0.86037,0.000416,0.000416,0.000416
42,116.504,1.77807,0.97472,0.97132,0.93466,0.917,0.95924,0.49442,1.4272,0.62686,0.8591,0.0003764,0.0003764,0.0003764
43,118.341,1.76513,0.98566,0.96594,0.93862,0.91486,0.95398,0.50024,1.43046,0.62803,0.86037,0.0003368,0.0003368,0.0003368
44,120.153,1.7286,0.94744,0.96035,0.94245,0.9188,0.96029,0.5109,1.39771,0.62539,0.86218,0.0002972,0.0002972,0.0002972
45,121.954,1.73462,0.98047,0.95524,0.93921,0.92432,0.95579,0.49364,1.39156,0.62702,0.85928,0.0002576,0.0002576,0.0002576
46,123.774,1.71741,0.93784,0.95385,0.9382,0.9359,0.9561,0.48992,1.41733,0.62118,0.86039,0.000218,0.000218,0.000218
47,125.611,1.717,0.9258,0.95189,0.935,0.94017,0.96292,0.49418,1.43333,0.62515,0.86244,0.0001784,0.0001784,0.0001784
48,127.422,1.70802,0.94166,0.94868,0.93636,0.93162,0.97228,0.51076,1.39651,0.61333,0.85995,0.0001388,0.0001388,0.0001388
49,129.214,1.71239,0.93382,0.94275,0.94726,0.92102,0.97103,0.51113,1.38524,0.61233,0.85894,9.92e-05,9.92e-05,9.92e-05
50,131.043,1.69041,0.91697,0.95017,0.94762,0.92779,0.97127,0.50549,1.3935,0.61253,0.85799,5.96e-05,5.96e-05,5.96e-05
